Name	path	direction	Data type
forward(41)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(41).wav	forward	wav
right(69)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(69).wav	right	wav
left(17)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(17).wav	left	wav
right(3)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(3).wav	right	wav
right(23)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(23).wav	right	wav
left(15)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(15).wav	left	wav
backward(55)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(55).wav	backward	wav
right(70)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(70).wav	right	wav
stop(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(40).wav	stop	wav
forward(3)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(3).wav	forward	wav
left(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(32).wav	left	wav
right(66)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(66).wav	right	wav
forward(49)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(49).wav	forward	wav
stop(72)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(72).wav	stop	wav
forward(6)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(6).wav	forward	wav
right(44)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(44).wav	right	wav
right(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(63).wav	right	wav
backward(58)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(58).wav	backward	wav
left(27)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(27).wav	left	wav
left(55)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(55).wav	left	wav
forward(32)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(32).wav	forward	wav
forward(71)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(71).wav	forward	wav
right(54)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(54).wav	right	wav
forward(64)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(64).wav	forward	wav
