Name	path	direction	Data type	duration
left(52)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(52).wav	left	wav	4.736
stop(37)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(37).wav	stop	wav	3.53
stop(20)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(20).wav	stop	wav	2.322
stop(19)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(19).wav	stop	wav	2.322
right(68)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(68).wav	right	wav	4.156375
right(61)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(61).wav	right	wav	2.816
right(9)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(9).wav	right	wav	2.9256875
stop(71)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(71).wav	stop	wav	3.3436875
forward(14)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(14).wav	forward	wav	6.292625
stop(3)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(3).wav	stop	wav	2.438125
backward(51)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(51).wav	backward	wav	5.398125
backward(76)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(76).wav	backward	wav	6.5706875
right(8)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(8).wav	right	wav	3.2508125
forward(40)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(40).wav	forward	wav	4.0090625
stop(73)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(73).wav	stop	wav	3.712
stop(68)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(68).wav	stop	wav	3.8080625
backward(7)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(7).wav	backward	wav	3.8545
left(27)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(27).wav	left	wav	3.4365625
stop(53)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(53).wav	stop	wav	3.2508125
backward(50)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(50).wav	backward	wav	7.52325
stop(29)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(29).wav	stop	wav	2.50775
left(76)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(76).wav	left	wav	5.7386875
stop(46)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(46).wav	stop	wav	3.2426875
left(51)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(51).wav	left	wav	4.288
stop(27)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(27).wav	stop	wav	2.531
backward(71)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(71).wav	backward	wav	3.947375
right(16)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(16).wav	right	wav	2.972125
backward(12)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(12).wav	backward	wav	3.5294375
left(9)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(9).wav	left	wav	3.1115
left(33)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(33).wav	left	wav	4.5339375
right(46)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(46).wav	right	wav	4.288
backward(73)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(73).wav	backward	wav	4.8426875
right(4)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(4).wav	right	wav	2.205875
right(65)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(65).wav	right	wav	5.0619375
left(22)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(22).wav	left	wav	3.4133125
left(13)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(13).wav	left	wav	3.390125
forward(37)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(37).wav	forward	wav	5.07825
forward(44)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(44).wav	forward	wav	4.6759375
stop(8)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(8).wav	stop	wav	2.786375
left(74)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(74).wav	left	wav	3.4604375
backward(31)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(31).wav	backward	wav	4.0336875
stop(67)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(67).wav	stop	wav	3.552625
forward(45)	/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(45).wav	forward	wav	5.0155
backward(11)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(11).wav	backward	wav	4.3189375
left(18)	/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(18).wav	left	wav	3.0418125
backward(17)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(17).wav	backward	wav	3.274
backward(22)	/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(22).wav	backward	wav	3.8313125
stop(63)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(63).wav	stop	wav	2.2523125
right(55)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(55).wav	right	wav	7.296
right(11)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(11).wav	right	wav	3.366875
right(49)	/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(49).wav	right	wav	3.350125
stop(62)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(62).wav	stop	wav	5.888
stop(45)	/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(45).wav	stop	wav	4.288
