path,label
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(59).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(12).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(56).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(41).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(24).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(47).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(25).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(47).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(51).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(34).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(4).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(75).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(23).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(58).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(5).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(25).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(22).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(56).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(68).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(47).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(52).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(63).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(3).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(25).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(30).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(33).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(42).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(63).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(10).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(8).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(74).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(35).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(21).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(15).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(33).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(27).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(48).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(23).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(75).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(49).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(43).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(11).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(3).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(57).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(40).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(18).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(56).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(58).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(70).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(72).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(11).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(54).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(45).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(59).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(62).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(55).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(63).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(76).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(19).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(13).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(66).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(16).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(55).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(12).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(46).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(5).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(33).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(58).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(56).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(39).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(67).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(31).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(73).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(28).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(43).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(8).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(55).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(67).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(19).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(48).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(50).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(50).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(9).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(32).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(52).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(50).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(36).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(26).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(17).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(21).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(60).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(44).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(41).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(21).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(19).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(37).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(64).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(4).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(21).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(42).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(69).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(13).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(70).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(41).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(55).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(52).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(39).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(62).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(55).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(72).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(37).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(10).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(23).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(7).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(57).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(4).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(20).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(32).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(76).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(23).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(68).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(66).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(1).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(61).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(6).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(39).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(9).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(37).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(61).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(41).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(1).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(47).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(51).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(29).wav,stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(69).wav,right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(57).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(7).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(43).wav,left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(36).wav,backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(9).wav,forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(46).wav,left
