Name,path,direction,Data type,duration,transcript
left(52),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(52).wav,left,wav,4.736,The position of the head is the same as the head.
stop(37),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(37).wav,stop,wav,3.53,Take a turn to right and position your neck in
stop(20),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(20).wav,stop,wav,2.322,I will be back soon with another episode of Karan's post-session.
stop(19),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(19).wav,stop,wav,2.322,I'm going to start with the first position
right(68),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(68).wav,right,wav,4.156375,Turn right and then turn left
right(61),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(61).wav,right,wav,2.816,Take a turn right and move to position
right(9),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(9).wav,right,wav,2.9256875,Turn to right and then position yourself in the right direction
stop(71),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(71).wav,stop,wav,3.3436875,We are going to go to Karamparshan
forward(14),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(14).wav,forward,wav,6.292625,I'll show you the right side of the road.
stop(3),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(3).wav,stop,wav,2.438125,We will continue to eat and come back with more delicious recipes
backward(51),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(51).wav,backward,wav,5.398125,We are now in the middle of the road.
backward(76),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(76).wav,backward,wav,6.5706875,The people of Pidi Basar are very good at learning and learning
right(8),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(8).wav,right,wav,3.2508125,Take a turn to write and then write it down again
forward(40),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(40).wav,forward,wav,4.0090625,The track is very easy to track and the position is very good
stop(73),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(73).wav,stop,wav,3.712,I hope you like it and I hope you like it too
stop(68),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(68).wav,stop,wav,3.8080625,Now we will move on to the next position
backward(7),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(7).wav,backward,wav,3.8545,The bus is now ready to go straight.
left(27),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(27).wav,left,wav,3.4365625,Take a turn to lift and then move to position
stop(53),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(53).wav,stop,wav,3.2508125,I'm going to show you the reason behind this.
backward(50),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(50).wav,backward,wav,7.52325,The position of the two people on the left side of the bus is the same as on the right side of the bus
stop(29),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(29).wav,stop,wav,2.50775,We will continue to eat and then go to the next location
left(76),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(76).wav,left,wav,5.7386875,Take a turn to lift the oyaa and then in the position
stop(46),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(46).wav,stop,wav,3.2426875,Now we can move on to the current position
left(51),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(51).wav,left,wav,4.288,Take a turn to laugh and then position yourself.
stop(27),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(27).wav,stop,wav,2.531,We will continue to look at the positions of the guests.
backward(71),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(71).wav,backward,wav,3.947375,The train is about to arrive at the station.
right(16),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(16).wav,right,wav,2.972125,Turn the wheel and push it to the right position
backward(12),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(12).wav,backward,wav,3.5294375,The ground is very slippery and the straight line is very difficult to get
left(9),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(9).wav,left,wav,3.1115,Turn left and then move to the right
left(33),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(33).wav,left,wav,4.5339375,Turn left and then turn right
right(46),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(46).wav,right,wav,4.288,Take a turn to right and then move your position
backward(73),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(73).wav,backward,wav,4.8426875,The house is very beautiful with straight lines and a lot of beautiful views
right(4),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(4).wav,right,wav,2.205875,Turn right and you will see the place
right(65),/content/drive/MyDrive/2nd Year Research Data/Directions/right/right(65).wav,right,wav,5.0619375,Turn to right and move your right foot forward
left(22),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(22).wav,left,wav,3.4133125,Take a turn to left or I'll then position a king
left(13),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(13).wav,left,wav,3.390125,Take a turn to the left and then in the positional necking
forward(37),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(37).wav,forward,wav,5.07825,Now we can see straight lines in the background
forward(44),/content/drive/MyDrive/2nd Year Research Data/Directions/forward/forward(44).wav,forward,wav,4.6759375,I'll show you the way to make it easier to make it easier
stop(8),/content/drive/MyDrive/2nd Year Research Data/Directions/stop/stop(8).wav,stop,wav,2.786375,We will be back soon with a new episode
left(74),/content/drive/MyDrive/2nd Year Research Data/Directions/left/left(74).wav,left,wav,3.4604375,Take a turn to left and then position yourself
backward(31),/content/drive/MyDrive/2nd Year Research Data/Directions/backward/backward(31).wav,backward,wav,4.0336875,The other side is straight and the other side is straight
